scenario,teachers,clips_per_teacher_month,clip_minutes,active_months,minutes,characters_per_minute,regeneration_factor,billed_characters,provider,usd_per_million_characters,annual_usd,eur_per_usd,annual_eur
Niedrig,20,2,5,10,2000,800,1.3,2080000,Qwen3-TTS Instruct,11.5,23.92,0.875810,20.95
Niedrig,20,2,5,10,2000,800,1.3,2080000,Azure Speech Neural,15,31.20,0.875810,27.33
Niedrig,20,2,5,10,2000,800,1.3,2080000,Qwen Audio 3 Plus,20,41.60,0.875810,36.43
Niedrig,20,2,5,10,2000,800,1.3,2080000,Google Chirp 3 HD,30,62.40,0.875810,54.65
Niedrig,20,2,5,10,2000,800,1.3,2080000,AWS Polly Generative,30,62.40,0.875810,54.65
Niedrig,20,2,5,10,2000,800,1.3,2080000,ElevenLabs Flash/Turbo,50,104.00,0.875810,91.08
Niedrig,20,2,5,10,2000,800,1.3,2080000,ElevenLabs Multilingual v2/v3,100,208.00,0.875810,182.17
Typisch,20,5,5,10,5000,800,1.3,5200000,Qwen3-TTS Instruct,11.5,59.80,0.875810,52.37
Typisch,20,5,5,10,5000,800,1.3,5200000,Azure Speech Neural,15,78.00,0.875810,68.31
Typisch,20,5,5,10,5000,800,1.3,5200000,Qwen Audio 3 Plus,20,104.00,0.875810,91.08
Typisch,20,5,5,10,5000,800,1.3,5200000,Google Chirp 3 HD,30,156.00,0.875810,136.63
Typisch,20,5,5,10,5000,800,1.3,5200000,AWS Polly Generative,30,156.00,0.875810,136.63
Typisch,20,5,5,10,5000,800,1.3,5200000,ElevenLabs Flash/Turbo,50,260.00,0.875810,227.71
Typisch,20,5,5,10,5000,800,1.3,5200000,ElevenLabs Multilingual v2/v3,100,520.00,0.875810,455.42
Hoch,20,10,5,10,10000,800,1.3,10400000,Qwen3-TTS Instruct,11.5,119.60,0.875810,104.75
Hoch,20,10,5,10,10000,800,1.3,10400000,Azure Speech Neural,15,156.00,0.875810,136.63
Hoch,20,10,5,10,10000,800,1.3,10400000,Qwen Audio 3 Plus,20,208.00,0.875810,182.17
Hoch,20,10,5,10,10000,800,1.3,10400000,Google Chirp 3 HD,30,312.00,0.875810,273.25
Hoch,20,10,5,10,10000,800,1.3,10400000,AWS Polly Generative,30,312.00,0.875810,273.25
Hoch,20,10,5,10,10000,800,1.3,10400000,ElevenLabs Flash/Turbo,50,520.00,0.875810,455.42
Hoch,20,10,5,10,10000,800,1.3,10400000,ElevenLabs Multilingual v2/v3,100,1040.00,0.875810,910.84
